# {'date': u'2016_May_11_1141', 'frameRate': None, 'expName': 'RNGT', u'participant': u'015'}
subj,time,stimulus,response
015,0.0014216438,1,
015,1.0003135019,1,
015,1.0146720733,0,b
015,1.9666201390,0,5
015,2.0003175450,1,
015,2.9186447141,0,9
015,3.0003853460,1,
015,3.9585807448,0,0
015,4.0003191001,1,
015,5.0002904868,1,
015,5.0385538856,0,9
015,5.9185458117,0,minus
015,6.0003194111,1,
015,7.0003138129,1,
015,7.0225089976,0,bracketright
015,7.9424752091,0,q
015,8.0003240763,1,
015,8.9504511565,0,3
015,9.0003489574,1,
015,10.0003716614,1,
015,10.0384335233,0,3
015,10.9823966221,0,4
015,11.0003430482,1,
015,11.9743768218,0,b
015,12.0002824005,1,
015,13.0003309186,1,
015,13.0223590890,0,5
015,13.9983267461,0,4
015,14.0003610870,1,
015,14.9823151365,0,3
015,15.0003831689,1,
015,16.0003878341,1,
015,16.0063390821,0,9
015,17.0003610870,1,
015,17.0462645383,0,0
015,18.0003334067,1,
015,18.0222334395,0,n
015,18.9742135395,0,bracketright
015,19.0003097697,1,
015,19.9261793330,0,q
015,20.0004232897,1,
015,21.0004086721,1,
015,21.0221622173,0,3
015,22.0004030738,1,
015,22.0221329820,0,4
015,23.0003542447,1,
015,23.0061195064,0,3
015,24.0003673072,1,
015,24.0620811422,0,b
015,25.0003231433,1,
015,25.0220639370,0,n
015,26.0003169230,1,
015,26.1660328207,0,9
015,27.0003156789,1,
015,27.0940135453,0,0
015,28.0003626420,1,
015,28.1499894877,0,minus
015,29.0004027628,1,
015,29.2059613870,0,3
015,30.0003430482,1,
015,30.0699507230,0,4
015,31.0003228323,1,
015,31.0539151654,0,5
015,32.0003138129,1,
015,32.0219140283,0,9
015,32.9978944370,0,0
015,33.0003791258,1,
015,34.0003100807,1,
015,34.0138702799,0,9
015,35.0003147459,1,
015,35.0538131529,0,n
015,36.0004096051,1,
015,36.0937967687,0,b
015,36.9817683744,0,5
015,37.0003520676,1,
015,37.9177502385,0,4
015,38.0003200331,1,
015,39.0002786683,1,
015,39.1017179777,0,q
015,40.0003268754,1,
015,40.1016943407,0,3
015,41.0004055619,1,
015,41.0856678025,0,4
015,42.0003617090,1,
015,42.0216459345,0,4
015,43.0003557997,1,
015,43.0696338000,0,3
015,44.0003206552,1,
015,44.1335881780,0,q
015,44.9815659044,0,n
015,45.0003474024,1,
015,46.0003355838,1,
015,46.0055525284,0,b
015,47.0003595319,1,
015,47.0295282668,0,9
015,48.0003315406,1,
015,48.0694941548,0,0
015,49.0003315406,1,
015,49.0534769470,0,0
015,50.0003094587,1,
015,50.0854790171,0,n
015,51.0003355838,1,
015,51.1654667756,0,bracketright
015,52.0003390050,1,
015,52.0934002262,0,b
015,53.0003523786,1,
015,53.0453874796,0,5
015,54.0003094587,1,
015,54.0293631185,0,4
015,55.0003259424,1,
015,55.0133390684,0,3
015,56.0003209662,1,
015,56.2373016199,0,4
015,57.0003197221,1,
015,57.0612830810,0,5
015,58.0003343398,1,
015,58.0292542637,0,0
015,59.0003141239,1,
015,59.1732380760,0,n
015,59.9732089652,0,9
015,60.0002995062,1,
015,60.9731819070,0,minus
015,61.0003063485,1,
015,62.0003054155,1,
015,62.0931685209,0,bracketright
015,62.9971582674,0,q
015,63.0003682403,1,
015,63.9891558838,0,bracketright
015,64.0006136301,1,
015,65.0003128798,1,
015,65.1090927356,0,9
015,66.0003212772,1,
015,66.0290595691,0,0
015,66.9730556354,0,minus
015,67.0003352728,1,
015,68.0003187891,1,
015,68.0210590516,0,n
015,69.0003396270,1,
015,69.0930350960,0,n
015,69.9890516942,0,b
015,70.0003293636,1,
015,71.0003169230,1,
015,71.0449424189,0,5
015,72.0003187891,1,
015,72.1169094440,0,4
015,73.0003604649,1,
015,73.0369092449,0,3
015,74.0003302966,1,
015,74.0448609333,0,q
015,75.0003458473,1,
015,75.0368417550,0,3
015,76.0003530006,1,
015,76.0608174934,0,4
015,77.0005396088,1,
015,77.0607932343,0,5
015,78.0003489574,1,
015,78.0847680397,0,5
015,79.0003604649,1,
015,79.1247463683,0,9
015,79.9967163169,0,0
015,80.0003750826,1,
015,81.0003517565,1,
015,81.1006931874,0,n
015,82.0003399380,1,
015,82.2046650817,0,n
015,83.0003259424,1,
015,83.1006493345,0,9
015,83.9966177255,0,0
015,84.0003107027,1,
015,84.9486889527,0,minus
015,85.0003147459,1,
015,86.0003082146,1,
015,86.0286583614,0,0
015,86.9725757412,0,3
015,87.0003259424,1,
015,88.0003103917,1,
015,88.0205247299,0,4
015,89.0003368279,1,
015,89.0205063801,0,5
015,89.9484765303,0,b
015,90.0003240763,1,
015,91.0003035494,1,
015,91.0524527788,0,n
015,92.0003038604,1,
015,92.0204261386,0,9
015,92.9644128745,0,0
015,93.0003346508,1,
015,94.0002883097,1,
015,94.1083948208,0,minus
015,95.0003144349,1,
015,95.1003588477,0,0
015,96.0003209662,1,
015,96.0603279578,0,9
015,97.0003383830,1,
015,97.0843027632,0,n
015,97.9802776855,0,9
015,98.0003103917,1,
015,99.0002864437,1,
015,99.0202560141,0,5
015,99.9562245046,0,4
015,100.0003312296,1,
015,101.0003187891,1,
015,101.0602069734,0,3
015,101.9801850034,0,q
015,102.0002967071,1,
015,103.0003725945,1,
015,103.0361708983,0,b
015,104.0003781927,1,
015,104.0201748395,0,5
015,105.0003243873,1,
015,105.1721293120,0,4
015,106.0003141239,1,
015,106.0761003977,0,3
015,107.0003228323,1,
015,107.0280683683,0,minus
015,108.0003184781,1,
015,108.0120415191,0,0
015,109.0003427371,1,
015,109.0680131074,0,9
015,110.0003197221,1,
015,110.0279822175,0,n
015,110.9559666743,0,bracketright
015,111.0003716614,1,
015,111.9479988132,0,minus
015,112.0003380719,1,
015,112.9559240654,0,0
015,113.0003290525,1,
015,114.0003103917,1,
015,114.0998913940,0,9
015,114.9958622732,0,0
015,115.0003075926,1,
015,115.9398393676,0,4
015,116.0003194111,1,
015,117.0003016833,1,
015,117.0198252600,0,minus
015,118.0003085256,1,
015,118.0917888640,0,3
015,119.0003253204,1,
015,119.0357706236,0,n
015,120.0003259424,1,
015,120.1157422094,0,5
015,121.0003222102,1,
015,121.0757324685,0,4
015,122.0003035494,1,
015,122.0917350586,0,0
015,122.9797178608,0,minus
015,123.0003617090,1,
015,124.0003166120,1,
015,124.0356443521,0,n
015,125.0003057265,1,
015,125.2116153059,0,b
015,125.9876023702,0,n
015,126.0003187891,1,
015,127.0002914199,1,
015,127.0835942739,0,4
015,128.0003097697,1,
015,128.1315429516,0,3
015,129.0003386940,1,
015,129.0835258508,0,4
015,130.0003312296,1,
015,130.0434986931,0,n
015,130.9475046123,0,0
015,131.0003122578,1,
015,131.9794528771,0,minus
015,132.0002979512,1,
015,132.9634310041,0,bracketright
015,133.0003218992,1,
015,134.0003405600,1,
015,134.0994071456,0,9
015,135.0003324737,1,
015,135.1153730361,0,0
015,136.0003548667,1,
015,136.0673643327,0,4
015,137.0003293636,1,
015,137.0913357169,0,3
015,138.0003408711,1,
015,138.0993408997,0,q
015,139.0002960851,1,
015,139.0273636111,0,b
015,140.0003458473,1,
015,140.0912582745,0,5
015,141.0003278085,1,
015,141.1952251926,0,9
015,142.0003402490,1,
015,142.2352047652,0,0
015,143.0003931214,1,
015,143.0831986644,0,minus
015,144.0003144349,1,
015,144.1231611312,0,3
015,145.0003334067,1,
015,145.1391291988,0,4
015,145.9951096199,0,5
015,146.0003119468,1,
015,147.0003075926,1,
015,147.1871301269,0,b
015,148.0003032384,1,
015,148.2110536150,0,q
015,149.0003047935,1,
015,149.1070363127,0,n
015,150.0003178560,1,
015,150.0190128921,0,9
015,151.0003243873,1,
015,151.0669855180,0,0
015,152.0003103917,1,
015,152.0989561757,0,3
015,153.0003427371,1,
015,153.1629447652,0,4
015,154.0003113248,1,
015,154.1549165675,0,5
015,155.0003253204,1,
015,155.0749098371,0,9
015,155.9788747025,0,minus
015,156.0003411821,1,
015,157.0003250094,1,
015,157.1068699204,0,0
015,158.0003107027,1,
015,158.0828521951,0,n
015,159.0003085256,1,
015,159.0667889573,0,b
015,160.0003138129,1,
015,160.0667712295,0,9
015,161.0003181671,1,
015,161.0827483165,0,4
015,162.0003775707,1,
015,162.1227151375,0,3
015,163.0003405600,1,
015,163.2346953247,0,q
015,164.0003250094,1,
015,164.2186672315,0,b
015,165.0003309186,1,
015,165.0986451619,0,9
015,165.1626334404,0,n
015,166.0003107027,1,
015,166.0106282726,0,0
015,167.0003069706,1,
015,167.0426023515,0,minus
015,168.0003100807,1,
015,168.2025635619,0,b
015,169.0003044825,1,
015,169.1625678165,0,9
015,170.0003436702,1,
015,170.2265281038,0,0
015,171.0003464693,1,
015,171.1705033322,0,4
015,172.0003228323,1,
015,172.0584665405,0,3
