# {'date': u'2016_May_10_1414', 'frameRate': None, 'expName': 'pilot1', u'participant': u'013'}
subj,sessionix,ISI,time,stimulus,response
013,1,1.25,98.7503348053,1,
013,1,1.25,98.7661504269,0,lalt
013,1,1.25,100.0003253194,1,
013,1,1.25,100.0221313581,0,rctrl
013,1,1.25,101.2503257859,1,
013,1,1.25,101.3580764731,0,lalt
013,1,1.25,102.5003206542,1,
013,1,1.25,102.5500459988,0,lalt
013,1,1.25,103.7100116879,0,lalt
013,1,1.25,103.7503404035,1,
013,1,1.25,105.0003147449,1,
013,1,1.25,105.0459745305,0,rctrl
013,1,1.25,106.2503649735,1,
013,1,1.25,106.2779505627,0,rctrl
013,1,1.25,107.5003383819,1,
013,1,1.25,107.5179373508,0,lalt
013,1,1.25,108.7503460017,1,
013,1,1.25,108.8458875714,0,lalt
013,1,1.25,110.0003082137,1,
013,1,1.25,110.0138419346,0,rctrl
013,1,1.25,111.2503447577,1,
013,1,1.25,111.3098060462,0,rctrl
013,1,1.25,112.5003166110,1,
013,1,1.25,112.5657667616,0,lalt
013,1,1.25,113.7503463127,1,
013,1,1.25,113.8617815683,0,rctrl
013,1,1.25,115.0003868999,1,
013,1,1.25,115.0057101946,0,lalt
013,1,1.25,116.2503587532,1,
013,1,1.25,116.2856633685,0,lalt
013,1,1.25,117.4536743360,0,lalt
013,1,1.25,117.5004354179,1,
013,1,1.25,118.7503469348,1,
013,1,1.25,118.8376124544,0,lalt
013,1,1.25,120.0003744594,1,
013,1,1.25,120.1735656557,0,lalt
013,1,1.25,121.2503531550,1,
013,1,1.25,121.5335330865,0,lalt
013,1,1.25,122.4615121690,0,rctrl
013,1,1.25,122.5003828567,1,
013,1,1.25,123.7094932296,0,lalt
013,1,1.25,123.7503814572,1,
013,1,1.25,125.0003371378,1,
013,1,1.25,125.0294560200,0,lalt
013,1,1.25,126.2503267189,1,
013,1,1.25,126.3253971167,0,lalt
013,1,1.25,127.4773501836,0,lalt
013,1,1.25,127.5003256304,1,
013,1,1.25,128.7413294303,0,rctrl
013,1,1.25,128.7504517461,1,
013,1,1.25,129.9572886155,0,rctrl
013,1,1.25,130.0003200321,1,
013,1,1.25,131.2503416475,1,
013,1,1.25,131.2772604253,0,rctrl
