# {'date': u'2016_apr_25_1849', 'frameRate': None, 'expName': 'pilot1', u'participant': u'001'}
subj,sessionix,ISI,time,stimulus,response
001,1,1.25,98.6974657356,0,lalt
001,1,1.25,98.7503399380,1,
001,1,1.25,100.0003256314,1,
001,1,1.25,100.0814311733,0,lalt
001,1,1.25,101.2503377609,1,
001,1,1.25,101.2974022266,0,lalt
001,1,1.25,102.5003704174,1,
001,1,1.25,102.5613878926,0,rctrl
001,1,1.25,103.6973484834,0,rctrl
001,1,1.25,103.7503215882,1,
001,1,1.25,104.9053059567,0,lalt
001,1,1.25,105.0003159900,1,
001,1,1.25,105.7212924985,0,rctrl
001,1,1.25,106.2503405600,1,
001,1,1.25,107.5003340288,1,
001,1,1.25,107.5932932374,0,lalt
001,1,1.25,108.7503520676,1,
001,1,1.25,108.8492233365,0,rctrl
001,1,1.25,110.0004043179,1,
001,1,1.25,110.1052059968,0,rctrl
001,1,1.25,111.2502425907,1,
001,1,1.25,111.4651733031,0,lalt
001,1,1.25,112.5003452253,1,
001,1,1.25,112.5531329658,0,rctrl
001,1,1.25,113.7503343398,1,
001,1,1.25,113.8090957213,0,rctrl
001,1,1.25,115.0003281195,1,
001,1,1.25,115.1210593004,0,lalt
001,1,1.25,116.2503066596,1,
001,1,1.25,116.2650368924,0,rctrl
001,1,1.25,117.5003159900,1,
001,1,1.25,117.5930130141,0,rctrl
001,1,1.25,118.7503116358,1,
001,1,1.25,118.7609781631,0,lalt
001,1,1.25,120.0003299856,1,
001,1,1.25,120.0009510800,0,rctrl
001,1,1.25,121.2503172340,1,
001,1,1.25,121.2649243055,0,rctrl
001,1,1.25,122.5003278085,1,
001,1,1.25,122.6009581711,0,rctrl
001,1,1.25,123.7503169230,1,
001,1,1.25,123.9768652427,0,lalt
001,1,1.25,125.0003103917,1,
001,1,1.25,125.4088477812,0,lalt
001,1,1.25,126.2503209662,1,
001,1,1.25,126.2648036321,0,rctrl
001,1,1.25,127.5003175450,1,
001,1,1.25,127.5127627600,0,lalt
001,1,1.25,128.7287468759,0,rctrl
001,1,1.25,128.7503352728,1,
001,1,1.25,130.0003346508,1,
001,1,1.25,130.0887088949,0,rctrl
001,1,1.25,131.2504313761,1,
001,1,1.25,131.4326882286,0,lalt
001,1,1.25,132.5003446032,1,
001,1,1.25,132.6566461149,0,lalt
001,1,1.25,133.7503797478,1,
001,1,1.25,133.7926262996,0,rctrl
001,1,1.25,134.9765791101,0,rctrl
001,1,1.25,135.0004279549,1,
001,1,1.25,136.2165545151,0,lalt
001,1,1.25,136.2502932860,1,
001,1,1.25,137.4965265985,0,rctrl
001,1,1.25,137.5003284305,1,
001,1,1.25,138.7503371389,1,
001,1,1.25,138.8084889335,0,rctrl
001,1,1.25,140.0003281195,1,
001,1,1.25,140.0325062234,0,rctrl
001,1,1.25,141.2502929749,1,
001,1,1.25,141.2964380840,0,lalt
001,1,1.25,142.4324608776,0,rctrl
001,1,1.25,142.5003449142,1,
001,1,1.25,143.7503284305,1,
001,1,1.25,143.9203916783,0,lalt
001,1,1.25,145.0003365169,1,
001,1,1.25,145.0723361984,0,lalt
001,1,1.25,146.1443057116,0,lalt
001,1,1.25,146.2503144349,1,
001,1,1.25,147.5003088366,1,
001,1,1.25,147.6402821268,0,rctrl
001,1,1.25,148.7503125688,1,
001,1,1.25,149.1202456884,0,rctrl
001,1,1.25,150.0003166120,1,
001,1,1.25,150.0562203993,0,rctrl
001,1,1.25,151.2502677828,1,
001,1,1.25,151.2641872029,0,lalt
001,1,1.25,152.5003498905,1,
001,1,1.25,152.6321671562,0,rctrl
001,1,1.25,153.7441174861,0,rctrl
001,1,1.25,153.7503116358,1,
001,1,1.25,154.9040902039,0,rctrl
001,1,1.25,155.0003337177,1,
001,1,1.25,156.2503119468,1,
001,1,1.25,156.4160629890,0,rctrl
001,1,1.25,157.5003427371,1,
001,1,1.25,157.7840295687,0,rctrl
001,1,1.25,158.7503097697,1,
001,1,1.25,158.8080413847,0,lalt
001,1,1.25,160.0003184781,1,
001,1,1.25,160.0319974049,0,rctrl
001,1,1.25,161.2502593855,1,
001,1,1.25,161.2559839044,0,rctrl
001,1,1.25,162.5003240763,1,
001,1,1.25,162.5199073677,0,lalt
001,1,1.25,163.7503442922,1,
001,1,1.25,163.8078805906,0,rctrl
001,1,1.25,165.0003458473,1,
