# {'date': u'2016_May_04_1211', 'frameRate': None, 'expName': 'RNGT', u'participant': u'008'}
subj,time,stimulus,response
008,108.0323878996,0,3
008,108.8404220644,0,q
008,109.0003458524,1,
008,110.0003250142,1,
008,110.1843521052,0,q
008,111.0003122625,1,
008,111.2003493359,0,b
008,112.0003458524,1,
008,112.2083412643,0,b
008,113.0002600114,1,
008,113.1523315182,0,b
008,114.0003629585,1,
008,114.0723170621,0,0
008,115.0003278134,1,
008,115.0723204833,0,minus
008,116.0003365219,1,
008,116.0963485197,0,4
008,117.0003477186,1,
008,117.0963326578,0,9
008,118.0003704229,1,
008,118.1123252232,0,bracketright
008,119.0003738441,1,
008,119.1362748830,0,minus
008,120.0003125735,1,
008,120.0882642188,0,0
008,121.0003713560,1,
008,121.0242603672,0,bracketright
008,122.0003716670,1,
008,122.0402439131,0,9
008,123.0003726000,1,
008,123.1362425371,0,5
008,124.0004270282,1,
008,124.0722172252,0,4
008,125.0003069751,1,
008,125.0322121743,0,3
008,126.0003312346,1,
008,126.1362077031,0,q
008,127.0003240812,1,
008,127.1362061480,0,minus
008,128.0003371439,1,
008,128.1202226021,0,0
008,129.0003337227,1,
008,129.0881911295,0,0
008,130.0002917352,1,
008,130.0961637748,0,b
008,131.0003206600,1,
008,131.5121670393,0,b
008,132.0003265693,1,
008,132.0241487116,0,n
008,133.0003200379,1,
008,133.1761757428,0,9
008,134.0003452304,1,
008,134.1601642053,0,0
008,135.0003735331,1,
008,135.1681614210,0,minus
008,136.0003530059,1,
008,136.0881718464,0,bracketright
008,137.0003548720,1,
008,137.0400989785,0,0
008,138.0003778873,1,
008,138.0320865228,0,b
008,139.0003775763,1,
008,139.0640812952,0,q
008,140.0003719780,1,
008,140.0400672546,0,3
008,141.0003312346,1,
008,141.2000756397,0,minus
008,142.0003371439,1,
008,142.1440537639,0,0
008,143.0003523838,1,
008,143.2080576155,0,4
008,144.0003352778,1,
008,144.0880449509,0,9
008,145.0003418092,1,
008,145.1520257872,0,5
008,146.0003082192,1,
008,146.0320174767,0,0
008,147.0003085302,1,
008,147.1200512309,0,4
008,148.0003088413,1,
008,148.1120054963,0,bracketright
008,149.0003069751,1,
008,149.1439928043,0,q
008,150.0003147506,1,
008,150.1519865988,0,b
008,151.0003442974,1,
008,151.0959830731,0,n
008,152.0003498957,1,
008,152.0959892935,0,5
008,153.0003088413,1,
008,153.0559842426,0,0
008,154.0003651356,1,
008,154.1199479728,0,3
008,155.0003489626,1,
008,155.0879292520,0,3
008,156.0003436753,1,
008,156.0559416330,0,5
008,156.1199140718,0,9
008,157.0003287464,1,
008,157.1359193890,0,9
008,158.0003442974,1,
008,158.0798972022,0,q
008,159.0006621581,1,
008,159.1439035420,0,minus
008,160.0003772653,1,
008,160.1038913376,0,0
008,161.0003442974,1,
008,161.1358873541,0,3
008,162.0004257842,1,
008,162.1518749432,0,minus
008,163.0003172388,1,
008,163.1198624428,0,3
008,164.0002917352,1,
008,164.0798629902,0,4
008,165.0003685568,1,
008,165.1038359764,0,5
008,166.0005399279,1,
008,166.1278223363,0,5
008,167.0003486516,1,
008,167.1358155089,0,q
