# {'date': u'2016_May_13_1600', 'frameRate': None, 'expName': 'RNGT', u'participant': u'019'}
subj,time,stimulus,response
019,0.0013196510,1,
019,0.9761672831,0,9
019,1.0003281244,1,
019,2.0003135065,1,
019,2.0321176247,0,5
019,2.8801042782,0,0
019,3.0003128845,1,
019,3.9681212375,0,minus
019,4.0003480296,1,
019,5.0003144396,1,
019,5.0161266143,0,bracketright
019,6.0003483406,1,
019,6.0481241859,0,3
019,7.0003968595,1,
019,7.0641167513,0,0
019,8.0005831595,1,
019,8.0720601609,0,9
019,9.0003175498,1,
019,9.0560560878,0,4
019,10.0003651356,1,
019,10.0720477202,0,9
019,11.0003492736,1,
019,11.0560458242,0,9
019,12.0003467855,1,
019,12.2720260111,0,4
019,13.0003331007,1,
019,13.0720156853,0,minus
019,14.0003141286,1,
019,14.0400062950,0,3
019,15.0003103963,1,
019,15.0639938991,0,n
019,16.0003088413,1,
019,16.0719848945,0,q
019,17.0003551830,1,
019,17.0159897663,0,n
019,18.0003414982,1,
019,18.0719649893,0,3
019,19.0003082192,1,
019,19.0159773255,0,n
019,20.0003119514,1,
019,20.0399462685,0,n
019,21.0003075972,1,
019,21.1119470249,0,5
019,22.0003082192,1,
019,22.1279389682,0,0
019,23.0003449194,1,
019,23.0399630635,0,minus
019,24.0003169277,1,
019,24.0639332505,0,q
019,25.0003082192,1,
019,25.0239129596,0,minus
019,26.0003125735,1,
019,26.0718897228,0,0
019,27.0003492736,1,
019,27.0878909968,0,4
019,28.0003340337,1,
019,28.0478747492,0,3
019,29.0003368329,1,
019,29.0238703501,0,minus
019,30.0003290575,1,
019,30.0478560881,0,9
019,31.0003489626,1,
019,31.0318461056,0,5
019,32.0003390100,1,
019,32.0238333389,0,0
019,33.0003582932,1,
019,33.0638293703,0,b
019,34.0003380770,1,
019,34.0078423286,0,3
019,34.9518139214,0,minus
019,35.0003100853,1,
019,36.0003079082,1,
019,36.0238013040,0,4
019,37.0003057311,1,
019,37.0317913664,0,bracketright
019,37.9517731780,0,q
019,38.0003128845,1,
019,39.0003247032,1,
019,39.0797780822,0,minus
019,40.0003243922,1,
019,40.1837677016,0,4
019,41.0003212820,1,
019,41.0877768530,0,9
019,42.0003393211,1,
019,42.0477792665,0,4
019,43.0003206600,1,
019,43.0397375751,0,minus
019,44.0003427423,1,
019,44.0157341091,0,minus
019,45.0003159947,1,
019,45.1517163239,0,3
019,46.0003240812,1,
019,46.1117025644,0,4
019,46.9916864785,0,q
019,47.0003250142,1,
019,48.0003051090,1,
019,48.0476850279,0,n
019,49.0003386990,1,
019,49.0876826144,0,5
019,50.0003386990,1,
019,50.1116593329,0,5
019,50.7836534335,0,b
019,51.0003075972,1,
019,51.0396800367,0,0
019,52.0003489626,1,
019,52.1276584297,0,minus
019,52.9356331899,0,b
019,53.0003321676,1,
019,53.0716321996,0,minus
019,53.9836342125,0,bracketright
019,54.0003859738,1,
019,55.0003327897,1,
019,55.0716194479,0,3
019,56.0003275024,1,
019,56.0636147677,0,4
019,57.0003107074,1,
019,57.0795967584,0,9
019,58.0003079082,1,
019,58.1196385096,0,9
019,59.0003135065,1,
019,59.0476038521,0,5
019,60.0003069751,1,
019,60.1115977512,0,0
019,61.0003141286,1,
019,61.0395655820,0,b
019,62.0003131955,1,
019,62.1035551268,0,3
019,63.0006403869,1,
019,63.0155602499,0,minus
019,64.0003937493,1,
019,64.0315770747,0,q
019,65.0004239181,1,
019,65.0395472319,0,bracketright
019,66.0003203489,1,
019,66.1515182052,0,3
019,67.0003461635,1,
019,67.0075198025,0,minus
019,68.0003166167,1,
019,68.1115032016,0,4
019,69.0003131955,1,
019,69.0954814005,0,9
019,70.0004372919,1,
019,70.0954754911,0,n
019,71.0003598483,1,
019,71.0714726472,0,b
019,72.0003153726,1,
019,72.1114633913,0,0
019,73.0003551830,1,
019,73.1434522543,0,4
019,74.0003682458,1,
019,74.0074591540,0,minus
019,75.0003775763,1,
019,75.1354317122,0,3
019,76.0003293685,1,
019,76.1434771358,0,bracketright
019,77.0003175498,1,
019,77.1274385397,0,0
019,78.0003411872,1,
019,78.1274456931,0,4
019,79.0003498957,1,
019,79.0714014240,0,9
019,80.0003234591,1,
019,80.1433772989,0,5
019,81.0003442974,1,
019,81.0873790605,0,n
019,82.0003775763,1,
019,82.0953890280,0,b
019,83.0003536279,1,
019,83.0473621909,0,9
019,84.0004024578,1,
019,84.0953800085,0,3
019,85.0003713560,1,
019,85.1433626810,0,3
019,86.0004052570,1,
019,86.1273623402,0,q
019,87.0003209710,1,
019,87.1433244258,0,bracketright
019,88.0003281244,1,
019,88.1033119104,0,minus
019,89.0003312346,1,
019,89.0472956329,0,4
019,90.0004055680,1,
019,90.1513331492,0,9
019,91.0003234591,1,
019,91.2152810176,0,4
019,92.0003337227,1,
019,92.0713469957,0,minus
019,93.0003075972,1,
019,93.0312990243,0,minus
019,94.0003029319,1,
019,94.0392937519,0,3
019,95.0003931272,1,
019,95.0393043265,0,bracketright
019,96.0003573601,1,
019,96.1352531876,0,q
019,97.0004391580,1,
019,97.1832293288,0,n
019,98.0003309236,1,
019,98.0552126059,0,5
019,98.9911978687,0,9
019,99.0003122625,1,
019,99.9831975427,0,0
019,100.0003393211,1,
019,100.9831907003,0,minus
019,101.0003271913,1,
019,102.0003175498,1,
019,102.1751823501,0,3
019,103.0003141286,1,
019,103.0791694192,0,0
019,104.0002988887,1,
019,104.0391634352,0,4
019,104.9351707056,0,bracketright
019,105.0003396321,1,
019,106.0003368329,1,
019,106.0231369688,0,3
019,106.9351299621,0,9
019,107.0003303015,1,
019,108.0003057311,1,
019,108.0551255208,0,q
019,109.0003380770,1,
019,109.0311080590,0,0
019,110.0003346558,1,
019,110.0390978103,0,0
019,111.0003116404,1,
019,111.0631134060,0,minus
019,112.0003735331,1,
019,112.1111256253,0,q
019,113.0003666907,1,
019,113.1190985816,0,3
019,114.0003377660,1,
019,114.1110624886,0,n
019,115.0003679348,1,
019,115.0950789427,0,b
019,116.0003707339,1,
019,116.0230641905,0,b
019,117.0003362109,1,
019,117.1990334171,0,n
019,118.0003548720,1,
019,118.1430208718,0,5
019,119.0003414982,1,
019,119.0950120737,0,0
019,120.0003380770,1,
019,120.0950080305,0,5
019,121.0003237701,1,
019,121.0470038977,0,bracketright
019,122.0003380770,1,
019,122.1029900064,0,3
019,123.0003247032,1,
019,123.0629889987,0,minus
019,124.0003352778,1,
019,124.0709756398,0,4
019,125.0003380770,1,
019,125.1349698499,0,0
019,126.0003380770,1,
019,126.2549638534,0,5
019,127.0003430533,1,
019,127.1189415173,0,9
019,128.0003228371,1,
019,128.1109290617,0,4
019,129.0003408762,1,
019,129.0709600889,0,minus
019,129.9429498974,0,q
019,130.0003259473,1,
019,131.0003141286,1,
019,131.0789426868,0,n
019,132.0003072862,1,
019,132.0148856510,0,n
019,133.0003097743,1,
019,133.0548857256,0,5
019,134.0003446084,1,
019,134.0948830011,0,0
019,135.0003411872,1,
019,135.0708661613,0,5
019,135.9748482541,0,9
019,136.0002730741,1,
019,137.0003470965,1,
