# {'date': u'2016_May_09_1621', 'frameRate': None, 'expName': 'pilot1', u'participant': u'011'}
subj,sessionix,ISI,time,stimulus,response
011,1,0.3,0.0016287835,1,
011,1,0.3,0.3002998492,1,
011,1,0.3,0.3066622751,0,rctrl
011,1,0.3,0.6003204073,1,
011,1,0.3,0.6986283945,0,lalt
011,1,0.3,0.8986151452,0,rctrl
011,1,0.3,0.9003338120,1,
011,1,0.3,1.1308037271,0,lalt
011,1,0.3,1.2003372642,1,
011,1,0.3,1.3066196661,0,rctrl
011,1,0.3,1.5003015287,1,
011,1,0.3,1.6106016173,0,lalt
011,1,0.3,1.8003136893,1,
011,1,0.3,1.9385923416,0,lalt
011,1,0.3,2.1003050120,1,
011,1,0.3,2.2026061159,0,rctrl
011,1,0.3,2.4003041101,1,
011,1,0.3,2.5545829092,0,lalt
011,1,0.3,2.7003025861,1,
011,1,0.3,2.8665778409,0,lalt
011,1,0.3,3.0002967079,1,
011,1,0.3,3.1225798787,0,lalt
011,1,0.3,3.3003337498,1,
011,1,0.3,3.4025664304,0,rctrl
011,1,0.3,3.6003194742,1,
011,1,0.3,3.7305559106,0,lalt
011,1,0.3,3.9002983563,1,
011,1,0.3,4.0025524969,0,rctrl
011,1,0.3,4.2003036747,1,
011,1,0.3,4.3225541889,0,rctrl
011,1,0.3,4.5002981075,1,
011,1,0.3,4.6105447017,0,rctrl
011,1,0.3,4.8003261299,1,
011,1,0.3,4.8825422210,0,rctrl
011,1,0.3,5.1003056341,1,
011,1,0.3,5.1705274466,0,lalt
011,1,0.3,5.4003274362,1,
011,1,0.3,5.4985278123,0,rctrl
011,1,0.3,5.7003256012,1,
011,1,0.3,5.8105165237,0,lalt
011,1,0.3,6.0003122587,1,
011,1,0.3,6.1705109628,0,lalt
011,1,0.3,6.3003275295,1,
011,1,0.3,6.4825058945,0,rctrl
011,1,0.3,6.6003172971,1,
011,1,0.3,6.7145028913,0,lalt
011,1,0.3,6.9003008444,1,
011,1,0.3,7.0504851361,0,lalt
011,1,0.3,7.2003158042,1,
011,1,0.3,7.3465032471,0,rctrl
011,1,0.3,7.5003575113,1,
011,1,0.3,7.6264851337,0,rctrl
011,1,0.3,7.8003059140,1,
011,1,0.3,7.9224830287,0,rctrl
011,1,0.3,8.1003507312,1,
011,1,0.3,8.2344680079,0,rctrl
011,1,0.3,8.4002978898,1,
011,1,0.3,8.4424531215,0,lalt
011,1,0.3,8.7003172038,1,
011,1,0.3,8.8264445151,0,lalt
011,1,0.3,9.0003197230,1,
011,1,0.3,9.1304432611,0,lalt
011,1,0.3,9.3003399701,1,
011,1,0.3,9.3944442838,0,rctrl
011,1,0.3,9.6003493316,1,
011,1,0.3,9.6424342741,0,lalt
011,1,0.3,9.9003244815,1,
011,1,0.3,9.9944462120,0,rctrl
011,1,0.3,10.2003338431,1,
011,1,0.3,10.3464189622,0,rctrl
011,1,0.3,10.5003117922,1,
011,1,0.3,10.6024225550,0,rctrl
011,1,0.3,10.8003289291,1,
011,1,0.3,10.9064129036,0,rctrl
011,1,0.3,11.1003239839,1,
011,1,0.3,11.1784169543,0,rctrl
011,1,0.3,11.4003336565,1,
011,1,0.3,11.4746372248,0,lalt
011,1,0.3,11.7003330655,1,
011,1,0.3,11.8023949991,0,rctrl
011,1,0.3,12.0003219001,1,
011,1,0.3,12.1223870496,0,rctrl
011,1,0.3,12.3003636072,1,
011,1,0.3,12.3943665301,0,lalt
011,1,0.3,12.6005847697,1,
011,1,0.3,12.6903762437,0,rctrl
011,1,0.3,12.9003198163,1,
011,1,0.3,12.9943833871,0,rctrl
011,1,0.3,13.2003409964,1,
011,1,0.3,13.2983510316,0,lalt
011,1,0.3,13.5003503580,1,
011,1,0.3,13.6183465032,0,lalt
011,1,0.3,13.8003395036,1,
011,1,0.3,13.9063401262,0,lalt
011,1,0.3,14.1003236729,1,
011,1,0.3,14.1863643107,0,rctrl
011,1,0.3,14.4003237040,1,
011,1,0.3,14.5224239981,0,lalt
011,1,0.3,14.7003302664,1,
011,1,0.3,14.8423516686,0,lalt
011,1,0.3,15.0003141248,1,
011,1,0.3,15.0583335899,0,lalt
