# {'date': u'2016_May_07_1151', 'frameRate': None, 'expName': 'pilot1', u'participant': u'010'}
subj,sessionix,ISI,time,stimulus,response
010,1,0.75,0.0015457426,1,
010,1,0.75,0.3276507853,0,lalt
010,1,0.75,0.7503199563,1,
010,1,0.75,0.9996134088,0,rctrl
010,1,0.75,1.5003270319,1,
010,1,0.75,1.6475924514,0,rctrl
010,1,0.75,2.2503160686,1,
010,1,0.75,2.3915761070,0,lalt
010,1,0.75,3.0003107036,1,
010,1,0.75,3.0875618103,0,lalt
010,1,0.75,3.7503180902,1,
010,1,0.75,3.8555595262,0,lalt
010,1,0.75,4.5003121032,1,
010,1,0.75,4.5755390739,0,lalt
010,1,0.75,5.2503194898,1,
010,1,0.75,5.3035459087,0,rctrl
010,1,0.75,6.0003153688,1,
010,1,0.75,6.1195011450,0,lalt
010,1,0.75,6.7503523018,1,
010,1,0.75,6.8474946062,0,rctrl
010,1,0.75,7.5003621765,1,
010,1,0.75,7.6074805857,0,rctrl
010,1,0.75,8.2503487251,1,
010,1,0.75,8.3114481680,0,lalt
010,1,0.75,9.0003483364,1,
010,1,0.75,9.0874489120,0,rctrl
010,1,0.75,9.7503535459,1,
010,1,0.75,9.8714184723,0,lalt
010,1,0.75,10.5003528461,1,
010,1,0.75,10.5834142749,0,rctrl
010,1,0.75,11.2503114034,1,
010,1,0.75,11.3354214854,0,rctrl
010,1,0.75,12.0003318526,1,
010,1,0.75,12.0793656422,0,rctrl
010,1,0.75,12.7503491917,1,
010,1,0.75,12.8153490688,0,lalt
010,1,0.75,13.5003382284,1,
010,1,0.75,13.6474052206,0,lalt
010,1,0.75,14.2503711182,1,
010,1,0.75,14.3433660427,0,rctrl
010,1,0.75,15.0003511355,1,
010,1,0.75,15.1193776722,0,rctrl
010,1,0.75,15.7503958438,1,
010,1,0.75,15.8393226973,0,lalt
010,1,0.75,16.5003799044,1,
010,1,0.75,16.6392756096,0,rctrl
010,1,0.75,17.2503440599,1,
010,1,0.75,17.3832651745,0,rctrl
010,1,0.75,18.0003200340,1,
010,1,0.75,18.1112458841,0,rctrl
010,1,0.75,18.7503274206,1,
010,1,0.75,18.8392368572,0,rctrl
010,1,0.75,19.5003481809,1,
010,1,0.75,19.5512248844,0,rctrl
010,1,0.75,20.2503182457,1,
010,1,0.75,20.4072049023,0,rctrl
010,1,0.75,21.0003163019,1,
010,1,0.75,21.1191957287,0,rctrl
010,1,0.75,21.7503342630,1,
010,1,0.75,21.8391591036,0,rctrl
010,1,0.75,22.5003052608,1,
010,1,0.75,22.6711350136,0,lalt
010,1,0.75,23.2503114034,1,
010,1,0.75,23.3831230408,0,rctrl
010,1,0.75,24.0003340297,1,
010,1,0.75,24.1031060096,0,lalt
010,1,0.75,24.7503439044,1,
010,1,0.75,24.8870911208,0,lalt
010,1,0.75,25.5003102371,1,
010,1,0.75,25.6470798993,0,lalt
010,1,0.75,26.2503238440,1,
010,1,0.75,26.4070624576,0,rctrl
010,1,0.75,27.0003306085,1,
010,1,0.75,27.1270469816,0,rctrl
010,1,0.75,27.7503221334,1,
010,1,0.75,27.8630431598,0,rctrl
010,1,0.75,28.5003177014,1,
010,1,0.75,28.7030245860,0,lalt
010,1,0.75,29.2503328634,1,
010,1,0.75,29.3750015162,0,rctrl
010,1,0.75,30.0003175459,1,
010,1,0.75,30.1429811933,0,lalt
010,1,0.75,30.7503529238,1,
010,1,0.75,30.8629669612,0,lalt
010,1,0.75,31.5003096150,1,
010,1,0.75,31.6309715195,0,lalt
010,1,0.75,32.2503434379,1,
010,1,0.75,32.2949752790,0,lalt
010,1,0.75,33.0003355848,1,
010,1,0.75,33.0869366709,0,lalt
010,1,0.75,33.7503526128,1,
010,1,0.75,33.8549266114,0,lalt
010,1,0.75,34.5003264098,1,
010,1,0.75,34.6068871698,0,rctrl
010,1,0.75,35.2503048721,1,
010,1,0.75,35.3668650629,0,rctrl
010,1,0.75,36.0003430491,1,
010,1,0.75,36.1108552498,0,rctrl
010,1,0.75,36.7504026862,1,
010,1,0.75,36.8228507413,0,lalt
010,1,0.75,37.5004141160,1,
010,1,0.75,37.5588357230,0,rctrl
010,1,0.75,38.2503571225,1,
010,1,0.75,38.3428071495,0,lalt
010,1,0.75,39.0003725955,1,
010,1,0.75,39.0387866325,0,rctrl
010,1,0.75,39.7503429714,1,
010,1,0.75,39.8147768019,0,lalt
010,1,0.75,40.5003562672,1,
010,1,0.75,40.5667581983,0,lalt
010,1,0.75,41.2503496582,1,
010,1,0.75,41.3587354519,0,lalt
010,1,0.75,42.0004114723,1,
010,1,0.75,42.1107308439,0,rctrl
010,1,0.75,42.7503662975,1,
010,1,0.75,42.7587077094,0,lalt
010,1,0.75,43.5005745995,1,
010,1,0.75,43.6147042111,0,lalt
010,1,0.75,44.2503723622,1,
010,1,0.75,44.3266863290,0,rctrl
010,1,0.75,45.0004040080,1,
010,1,0.75,45.0786543517,0,lalt
010,1,0.75,45.7503977099,1,
