# {'date': u'2016_Apr_29_1251', 'frameRate': None, 'expName': 'pilot1', u'participant': u'004'}
subj,sessionix,ISI,time,stimulus,response
004,1,1.25,0.0015314407,1,
004,1,1.25,0.7914600098,0,lalt
004,1,1.25,1.2503361301,1,
004,1,1.25,2.5003061948,1,
004,1,1.25,2.6154230138,0,rctrl
004,1,1.25,2.6874044599,0,rctrl
004,1,1.25,3.7503313093,1,
004,1,1.25,3.9033873640,0,rctrl
004,1,1.25,5.0003729077,1,
004,1,1.25,5.2073827013,0,lalt
004,1,1.25,6.2503510588,1,
004,1,1.25,6.2713526970,0,rctrl
004,1,1.25,7.5003550243,1,
004,1,1.25,7.6233302740,0,rctrl
004,1,1.25,8.7503384627,1,
004,1,1.25,8.8792973412,0,rctrl
004,1,1.25,10.0003651323,1,
004,1,1.25,10.0553477108,0,lalt
004,1,1.25,11.2313305900,0,lalt
004,1,1.25,11.2503451495,1,
004,1,1.25,12.5003428947,1,
004,1,1.25,12.5272687576,0,lalt
004,1,1.25,13.7503527694,1,
004,1,1.25,13.7912102643,0,lalt
004,1,1.25,14.9831855646,0,rctrl
004,1,1.25,15.0003697975,1,
004,1,1.25,16.1671677646,0,lalt
004,1,1.25,16.2503215124,1,
004,1,1.25,17.5003282769,1,
004,1,1.25,17.5191506289,0,rctrl
004,1,1.25,18.7503110933,1,
004,1,1.25,18.7751148969,0,lalt
004,1,1.25,19.9750935613,0,lalt
004,1,1.25,20.0003399400,1,
004,1,1.25,21.1750781349,0,rctrl
004,1,1.25,21.2503498148,1,
004,1,1.25,22.3430473866,0,lalt
004,1,1.25,22.5003145923,1,
004,1,1.25,23.7503425059,1,
004,1,1.25,23.8870273224,0,lalt
004,1,1.25,25.0003228342,1,
004,1,1.25,25.0229977361,0,lalt
004,1,1.25,26.1909906251,0,rctrl
004,1,1.25,26.2503485707,1,
004,1,1.25,27.5003220566,1,
004,1,1.25,27.5349626610,0,rctrl
004,1,1.25,28.7189383297,0,lalt
004,1,1.25,28.7503443720,1,
004,1,1.25,30.0003268774,1,
004,1,1.25,30.0309588019,0,rctrl
004,1,1.25,31.2228793636,0,rctrl
004,1,1.25,31.2503274217,1,
