# {'date': u'2016_May_06_1550', 'frameRate': None, 'expName': 'pilot1', u'participant': u'009'}
subj,sessionix,ISI,time,stimulus,response
009,1,0.5,0.0016185397,1,
009,1,0.5,0.3179817768,0,rctrl
009,1,0.5,0.3498667597,0,lalt
009,1,0.5,0.5003215930,1,
009,1,0.5,0.9498713006,0,lalt
009,1,0.5,1.0003110184,1,
009,1,0.5,1.5003405651,1,
009,1,0.5,1.5018493153,0,lalt
009,1,0.5,2.0003523838,1,
009,1,0.5,2.0618534705,0,rctrl
009,1,0.5,2.5003240812,1,
009,1,0.5,2.6138178005,0,lalt
009,1,0.5,3.0003119514,1,
009,1,0.5,3.1018143569,0,rctrl
009,1,0.5,3.5003135065,1,
009,1,0.5,3.5818102763,0,lalt
009,1,0.5,4.0003110184,1,
009,1,0.5,4.0698024784,0,lalt
009,1,0.5,4.5003334117,1,
009,1,0.5,4.5417862532,0,lalt
009,1,0.5,5.0003278134,1,
009,1,0.5,5.0057952056,0,rctrl
009,1,0.5,5.5003312346,1,
009,1,0.5,5.5417893634,0,rctrl
009,1,0.5,6.0004652835,1,
009,1,0.5,6.0457974574,0,rctrl
009,1,0.5,6.5003318566,1,
009,1,0.5,6.5657760344,0,rctrl
009,1,0.5,7.0003446084,1,
009,1,0.5,7.1097692741,0,lalt
009,1,0.5,7.5003442974,1,
009,1,0.5,7.5177747008,0,rctrl
009,1,0.5,8.0003178608,1,
009,1,0.5,8.0697723097,0,lalt
009,1,0.5,8.5003116404,1,
009,1,0.5,8.5017662734,0,rctrl
009,1,0.5,9.0003707339,1,
009,1,0.5,9.0057550842,0,lalt
009,1,0.5,9.5003091523,1,
009,1,0.5,9.5577421185,0,lalt
009,1,0.5,10.0003642025,1,
009,1,0.5,10.0217454725,0,lalt
009,1,0.5,10.5003701119,1,
009,1,0.5,10.5337458059,0,lalt
009,1,0.5,11.0003536279,1,
009,1,0.5,11.0297308696,0,lalt
009,1,0.5,11.4617232782,0,rctrl
009,1,0.5,11.5003452304,1,
009,1,0.5,11.9257331636,0,rctrl
009,1,0.5,12.0003592262,1,
009,1,0.5,12.4617245223,0,rctrl
009,1,0.5,12.5003666907,1,
009,1,0.5,13.0003187938,1,
009,1,0.5,13.0137168439,0,rctrl
009,1,0.5,13.5003060421,1,
009,1,0.5,13.6297173714,0,lalt
009,1,0.5,14.0003362109,1,
009,1,0.5,14.1017160750,0,lalt
009,1,0.5,14.5003019989,1,
009,1,0.5,14.5017093571,0,rctrl
009,1,0.5,14.9896947168,0,lalt
009,1,0.5,15.0003383880,1,
009,1,0.5,15.4936894369,0,rctrl
009,1,0.5,15.5003321676,1,
009,1,0.5,15.9656859635,0,lalt
009,1,0.5,16.0003150616,1,
009,1,0.5,16.4856884890,0,rctrl
009,1,0.5,16.5003371439,1,
009,1,0.5,16.9337390879,0,lalt
009,1,0.5,17.0003225261,1,
009,1,0.5,17.3896923531,0,rctrl
009,1,0.5,17.5003281244,1,
009,1,0.5,17.8937156869,0,rctrl
009,1,0.5,18.0003243922,1,
009,1,0.5,18.3897243879,0,rctrl
009,1,0.5,18.5003125735,1,
009,1,0.5,18.8856923456,0,rctrl
009,1,0.5,19.0004721259,1,
009,1,0.5,19.3977371546,0,lalt
009,1,0.5,19.5003374549,1,
009,1,0.5,19.9176547721,0,lalt
009,1,0.5,20.0003125735,1,
009,1,0.5,20.3656441004,0,rctrl
009,1,0.5,20.5003194159,1,
009,1,0.5,20.9336414281,0,rctrl
009,1,0.5,21.0003166167,1,
009,1,0.5,21.5003125735,1,
009,1,0.5,21.5016462203,0,lalt
009,1,0.5,21.9816309431,0,lalt
009,1,0.5,22.0003523838,1,
009,1,0.5,22.4536262256,0,rctrl
009,1,0.5,22.5003131955,1,
009,1,0.5,22.9256081343,0,lalt
009,1,0.5,23.0003250142,1,
009,1,0.5,23.3976233219,0,rctrl
009,1,0.5,23.5003178608,1,
009,1,0.5,23.9016155539,0,lalt
009,1,0.5,24.0003262583,1,
009,1,0.5,24.3576014760,0,lalt
009,1,0.5,24.5004089892,1,
009,1,0.5,24.9016043572,0,lalt
009,1,0.5,25.0003194159,1,
009,1,0.5,25.3576490618,0,rctrl
009,1,0.5,25.5003079082,1,
009,1,0.5,25.8536002244,0,rctrl
009,1,0.5,26.0003113294,1,
009,1,0.5,26.3335917896,0,lalt
009,1,0.5,26.5003231481,1,
009,1,0.5,26.8295973805,0,rctrl
009,1,0.5,27.0003660686,1,
009,1,0.5,27.2455857160,0,rctrl
009,1,0.5,27.5003442974,1,
009,1,0.5,27.9336044170,0,rctrl
009,1,0.5,28.0003334117,1,
009,1,0.5,28.4455770697,0,rctrl
009,1,0.5,28.5003271913,1,
009,1,0.5,29.0003026209,1,
009,1,0.5,29.0055743825,0,rctrl
009,1,0.5,29.5003113294,1,
009,1,0.5,29.5335623051,0,rctrl
009,1,0.5,30.0003698009,1,
009,1,0.5,30.0135535592,0,lalt
009,1,0.5,30.4775929914,0,lalt
009,1,0.5,30.5003386990,1,
009,1,0.5,30.9735360676,0,lalt
009,1,0.5,31.0003617144,1,
009,1,0.5,31.4615332460,0,lalt
009,1,0.5,31.5003374549,1,
009,1,0.5,31.8855455449,0,rctrl
009,1,0.5,32.0003371439,1,
009,1,0.5,32.3495411235,0,rctrl
009,1,0.5,32.5004043239,1,
009,1,0.5,32.8775800530,0,rctrl
009,1,0.5,33.0003617144,1,
009,1,0.5,33.3575632207,0,rctrl
009,1,0.5,33.5003169277,1,
009,1,0.5,33.9175182350,0,rctrl
009,1,0.5,34.0003103963,1,
009,1,0.5,34.3975057570,0,lalt
009,1,0.5,34.5003231481,1,
009,1,0.5,34.9095116887,0,lalt
009,1,0.5,35.0003256363,1,
009,1,0.5,35.3895346667,0,lalt
009,1,0.5,35.5003355888,1,
009,1,0.5,35.9255490408,0,lalt
009,1,0.5,36.0003085302,1,
009,1,0.5,36.4615108527,0,lalt
009,1,0.5,36.5003293685,1,
009,1,0.5,36.9015088746,0,rctrl
009,1,0.5,37.0003209710,1,
009,1,0.5,37.4295291430,0,rctrl
009,1,0.5,37.5003253252,1,
009,1,0.5,37.9734925250,0,rctrl
009,1,0.5,38.0003660686,1,
009,1,0.5,38.5003169277,1,
009,1,0.5,38.5014779594,0,lalt
009,1,0.5,39.0003262583,1,
009,1,0.5,39.0454687109,0,lalt
009,1,0.5,39.5003091523,1,
009,1,0.5,39.5254646304,0,lalt
009,1,0.5,39.9894611420,0,rctrl
009,1,0.5,40.0003371439,1,
009,1,0.5,40.5003271913,1,
009,1,0.5,40.5094630454,0,rctrl
009,1,0.5,41.0003386990,1,
009,1,0.5,41.0054518413,0,rctrl
009,1,0.5,41.4614461609,0,rctrl
009,1,0.5,41.5003452304,1,
009,1,0.5,41.9654408810,0,lalt
009,1,0.5,42.0003349668,1,
009,1,0.5,42.4134326975,0,lalt
009,1,0.5,42.5003135065,1,
009,1,0.5,42.9094348672,0,lalt
009,1,0.5,43.0003128845,1,
009,1,0.5,43.4214236929,0,lalt
009,1,0.5,43.5003001327,1,
009,1,0.5,43.8934220855,0,rctrl
009,1,0.5,44.0003016878,1,
009,1,0.5,44.4294224637,0,rctrl
009,1,0.5,44.5003306125,1,
009,1,0.5,44.9174675390,0,rctrl
009,1,0.5,45.0002904912,1,
009,1,0.5,45.4694044993,0,rctrl
009,1,0.5,45.5003256363,1,
009,1,0.5,45.9654041808,0,rctrl
009,1,0.5,46.0003275024,1,
009,1,0.5,46.3813990478,0,lalt
009,1,0.5,46.5003334117,1,
009,1,0.5,46.9334016330,0,lalt
009,1,0.5,47.0003138176,1,
009,1,0.5,47.5003408762,1,
009,1,0.5,47.5733941188,0,lalt
009,1,0.5,47.9974403187,0,rctrl
009,1,0.5,48.0003502067,1,
009,1,0.5,48.5003278134,1,
009,1,0.5,48.5653878835,0,rctrl
009,1,0.5,49.0003082192,1,
009,1,0.5,49.0933786052,0,lalt
009,1,0.5,49.5003405651,1,
009,1,0.5,49.6693778139,0,lalt
009,1,0.5,50.0003337227,1,
009,1,0.5,50.0853994285,0,rctrl
009,1,0.5,50.5003172388,1,
009,1,0.5,50.5333554778,0,lalt
009,1,0.5,51.0003275024,1,
009,1,0.5,51.0053588468,0,rctrl
009,1,0.5,51.5004183197,1,
009,1,0.5,51.5413676225,0,lalt
009,1,0.5,51.9733559879,0,rctrl
009,1,0.5,52.0003514508,1,
009,1,0.5,52.4453637111,0,rctrl
009,1,0.5,52.5003539389,1,
009,1,0.5,52.9173465529,0,rctrl
009,1,0.5,53.0003554940,1,
009,1,0.5,53.4773553733,0,rctrl
009,1,0.5,53.5003586042,1,
009,1,0.5,53.9573758632,0,rctrl
009,1,0.5,54.0003772653,1,
009,1,0.5,54.4693522482,0,rctrl
009,1,0.5,54.5002761843,1,
009,1,0.5,55.0003212820,1,
009,1,0.5,55.0053311662,0,lalt
009,1,0.5,55.5003085302,1,
