# {'date': u'2016_May_11_1320', 'frameRate': None, 'expName': 'pilot1', u'participant': u'016'}
subj,sessionix,ISI,time,stimulus,response
016,1,0.75,0.0015740406,1,
016,1,0.75,0.4029015094,0,lalt
016,1,0.75,0.7503327847,1,
016,1,0.75,1.0268759416,0,rctrl
016,1,0.75,1.5003119468,1,
016,1,0.75,1.5948511053,0,rctrl
016,1,0.75,2.2503119468,1,
016,1,0.75,2.3307976383,0,rctrl
016,1,0.75,3.0005980794,1,
016,1,0.75,3.0667979767,0,rctrl
016,1,0.75,3.7503268754,1,
016,1,0.75,3.8107636880,0,rctrl
016,1,0.75,4.5003352728,1,
016,1,0.75,4.5707403869,0,rctrl
016,1,0.75,5.2503265644,1,
016,1,0.75,5.3147344005,0,rctrl
016,1,0.75,6.0003729055,1,
016,1,0.75,6.0347094447,0,lalt
016,1,0.75,6.7226836629,0,lalt
016,1,0.75,6.7503561107,1,
016,1,0.75,7.5003082146,1,
016,1,0.75,7.5626720684,0,lalt
016,1,0.75,8.2503589099,1,
016,1,0.75,8.2666771789,0,lalt
016,1,0.75,9.0003890782,1,
016,1,0.75,9.0586236025,0,lalt
016,1,0.75,9.7503530006,1,
016,1,0.75,9.7626144064,0,rctrl
016,1,0.75,10.5003704174,1,
016,1,0.75,10.6186038469,0,lalt
016,1,0.75,11.2503467803,1,
016,1,0.75,11.2825836658,0,rctrl
016,1,0.75,12.0003421151,1,
016,1,0.75,12.0665609842,0,rctrl
016,1,0.75,12.7504242227,1,
016,1,0.75,12.7705458789,0,rctrl
016,1,0.75,13.4665315001,0,rctrl
016,1,0.75,13.5003862791,1,
016,1,0.75,14.2345052953,0,rctrl
016,1,0.75,14.2503312296,1,
016,1,0.75,14.9944801281,0,lalt
016,1,0.75,15.0003626420,1,
016,1,0.75,15.6984768413,0,lalt
016,1,0.75,15.7503545557,1,
016,1,0.75,16.4744555082,0,lalt
016,1,0.75,16.5003900112,1,
016,1,0.75,17.2503915663,1,
016,1,0.75,17.2505604468,0,lalt
016,1,0.75,18.0003396270,1,
016,1,0.75,18.0504672670,0,rctrl
016,1,0.75,18.7503107027,1,
016,1,0.75,18.7544279027,0,lalt
016,1,0.75,19.5003358948,1,
016,1,0.75,19.5544087442,0,rctrl
016,1,0.75,20.2503150569,1,
016,1,0.75,20.3543594174,0,lalt
016,1,0.75,21.0003312296,1,
016,1,0.75,21.1143457577,0,rctrl
016,1,0.75,21.7503262534,1,
016,1,0.75,21.8903250467,0,rctrl
016,1,0.75,22.5003539336,1,
016,1,0.75,22.6103290152,0,lalt
016,1,0.75,23.2503246983,1,
016,1,0.75,23.2903182666,0,lalt
016,1,0.75,24.0003539336,1,
016,1,0.75,24.0582777552,0,rctrl
016,1,0.75,24.7503383830,1,
016,1,0.75,24.8262512394,0,lalt
016,1,0.75,25.5003520676,1,
016,1,0.75,25.5142419413,0,rctrl
016,1,0.75,26.2503673072,1,
016,1,0.75,26.2982096183,0,lalt
016,1,0.75,27.0003135019,1,
016,1,0.75,27.0262025968,0,rctrl
016,1,0.75,27.7221732894,0,rctrl
016,1,0.75,27.7503530006,1,
016,1,0.75,28.4901875164,0,lalt
016,1,0.75,28.5003629530,1,
